sit,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29
243,شيء,нещо,nešto,,,etwas,κάτι,something,algo,miski,mikään,,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,coisa,ceva,что-нибудь,nekaj,nešto,någon,şey,gì,
244,شيء,нещо,nešto,něco,noget,unternehmen,κάτι,something,algo,,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,điều,点 什么
245,‫افعل,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algum coisa,ceva,что-нибудь,ukreni kaj,nešto,någon,şey,gì,想想 办
246,شيء ما,нещо,,něco,noget,etwas,κάτι,something,algo,miski,jokin,,ממשהו,nešto,valami,,qualcosa,,ergens,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,şey,gì đó,东西
247,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,שמשהו,nešto,valami,sesuatu,qualcosa,こう,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,bir şey,một thứ,某 些
248,شيء,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,sesuatu,qualcosa,か,iets,,coś,algum coisa,ceva,что-нибудь,nekaj,nešto,någon,şey,gì đó,东 西
249,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,gì đó,肮脏
250,شيء,нещо,nešto,,noget,was,,something,,miski,jokin,un,משהו,nešto,valami,yang,una,,iets,noe,coś,uma,ceva,что-то,nekaj,nešto,någon,bir şey,,something
251,,някой,nešto,něco,noget,zugeschnappt,κάτι,something,algo,miski,jokin,,ומשהו,nešto,,ada,qualcosa,何 か,iets,noen,coś,algo,ceva,кто-то,nekaj,nešto,någon,şey,,
252,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,か,iets,noe,,algum coisa,ceva,что-то,nekaj,nešto,någon,bir şey,cái,处
253,,нещо,nešto,něco,gøre,was,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,nak,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,,kaj,nešto,,şey,gì đó,东 西
254,التصرّف,нещо,nešto,,noget,unternehmen,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,что-то,kaj,nešto,någon,şey,gì đó,ㄆ
255,بشيء,нещо,nešto,něco,,irgendetwas,κάτι,something,algo,miski,jokin asia,quelque chose,במשהו,nešto,,sesuatu,qualcosa,,iets,noe,coś,algo,ceva,,kaj,nešto,någon,şey,thứ gì đó,东西
256,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,wat,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,bir şey,đó,些 事情
257,شيء ما,нещо,nešto,něco,noget,etwas,,something,algo,miski,ruokaa,quelque chose,,nešto,valami,sesuatu,qualcosa,何 か,wat,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,gì đó,东西
258,شيء,нещо,nešto,něco,noget,,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algum coisa,ceva,что-нибудь,,nešto,någon,şey,,有些 东西
259,شيء,нещо,nešto,,,etwas,,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,ada,qualcosa,,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någonting,şey,gì,有些
260,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,,,משהו,nešto,valami,sesuatu,qualcosa,何 か,wat,noe,coś,coisa,ceva,,kaj,nešto,någon,şey,cái gì,点 东 西了
261,بشيء,нещо,,něco,noget,etwas,κάτι,something,algo,miski,,,משהו,nečim,,hal,qualcosa,もの,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,,出现
262,بشئ,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,choses,משהו,nešto,valami,sesuatu,qualcosa,か,iets,noe,coś,coisa,ceva,что-то,nekaj,nešto,någon,şey,nên điều,成就
263,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,seseorang,qualcosa,か,iets,noe,coś,algum coisa,ceva,кто-то,nekaj,nešto,någon,şey,gì,
264,شيئاً,нещо,nešto,něco,,,κα'να,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,,noe,,algum coisa,ceva,что-нибудь,kaj,nešto,någon,şey,cái gì đó,東西
265,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algo,ceva,такое,nekaj,nešto,någon,bir şey,thứ gì,
266,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,onko,,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,bir,gì,点
267,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,事,iets,noe,coś,algo,,какую-то,kaj,nešto,någonting,şey,gì,
268,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,sesuatu,una cosa,,iets,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,
269,شيء ما,нещо,nešto,něco,noget,irgendwas,κάτι,anything,algo,miski,mikään,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何,iets,noe,coś,coisa,ceva,что-то,kaj,nešto,någon,şey,gì,或
270,شيء,нещо,nešto,něco,noget,irgendwas,τίποτα,something,algo,miski,jokin,truc,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,
271,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,,una cosa,,iets,noe,coś,uma,ceva,,nekaj,nešto,sak,bir şey,cái,件
272,أى,нещо,išta,,noget,irgendetwas,τίποτα,anything,algo,miski,mikään,rien,משהו,išta,valami,menceritakan,qualcosa,,iets,nevnt,,algum coisa,ceva,что-нибудь,nič,nešto,någon,şey,gì,都
273,شيء ما,нещо,nešto,něco,noget,etwas,τίποτα,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,もの,iets,noe,coś,algum coisa,ceva,что-нибудь,kaj,nešto,någon,bir şey,vài thứ,可説明
274,بشيء,нещо,išta,,noget,irgendetwas,τίποτα,anything,algo,miski,jokin,quelque chose,משהו,išta,bármi,sesuatu,niente,何,iets,noe,coś,algum coisa,ceva,что-нибудь,kaj,nešto,någon,şey,gì,或
275,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,wat,tjeneste,coś,coisa,ceva,кое-что,nekaj,nešto,sak,şey,một việc,ㄇ
276,أى,нещо,nešto,něco,noget,etwas,τίποτα,anything,algo,miski,tarvitsetko,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noen,coś,algum coisa,ceva,обезболивающие,kaj,nešto,någon,,giảm,anything
277,أى,,ništa,,noget,was,,anything,algo,miski,mikään,,משהו,što,mindent,sesuatu,qualcosa,何,iets,noe,coś,algum coisa,ceva,что-нибудь,kaj,nešto,någon,şey,gì,
278,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,か,iets,noe,coś,algo,ceva,,nekaj,nešto,någon,,một,
279,شيء ما,нещо,išta,,noget,etwas,τίποτα,anything,algo,miski,jokin,quelque chose,משהו,što,valami,sesuatu,qualcosa,何,iets,noe,coś,algum coisa,ceva,что-нибудь,kaj odkrili,nešto,någon,şey bulabildiniz,gì,發現 什麼
280,شيء,нещо,nešto,,noget,was,κάτι,something,algo,miski,jokin,qu'il,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algo,ceva,привезли,kaj,nešto,någon,şey,gì,东 西
281,شيء,,nešto,něco,noget,etwas,κάτι,something,algo,miski,,quelque chose,במשהו,nešto,valami,sesuatu,una,,iets,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,bir,gì,
282,شيء,нещо,išta,něco,noget,was,τίποτα,anything,algo,leidsite misti,oliko mikään,alors,משהו,išta,valami,sesuatu,qualcosa,なに,iets,noe,nic,algum coisa,ceva,есть,kaj,,någon,şey,gì,
283,أى,,nešto,něco,noget,etwas,κάτι,anything,algo,miski,jokin,quelque chose,משהו,,valami,ada,qualcosa,何,iets,noe,coś,algum coisa,ceva,что-нибудь,kaj,trebate,någon,,gì,
284,شيء ما,нещо,nešto,něco,noget,,κάτι,something,algo,miski,jokin,truc,משהו,nešto,valami,sesuatu,qualcosa,か,iets,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,
285,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valamid,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,кое-что,kaj,nešto,någon,şey,gì,有东 西
286,,нещо,nešto,něco,noget,,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa altro,か,iets,noe,coś,coisa,,что-то,nekaj,nešto,någon,şey,thứ gì,东西
287,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nečim,,sesuatu,qualcosa,か,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,một thứ gì đó,
288,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,vastuteene,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,事,iets,noe,coś,uma coisa,ceva,кое-что,uslugo,nešto,tjänst,şey,một,件
289,شيء,,nešto,,der,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,ada sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,,nekaj,nešto,någon,şey,chuyện gì,
290,شيء ما,облекчи,nešto,,noget,schmerzmittel,κάτι,something,algo,miski,jokin,un,משהו,nešto,,sesuatu,qualcosa,何 か,wat,noe,coś,algo,,,,nešto,någon,bir şey,cái,东 西
291,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,una cosa,,iets,noe,coś,algo,,что-то,nekaj,nešto,någon,şey,thứ,
292,,,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,şey,vài điều,你有 某
293,شيء ما,нещо,nešto,něco,ting,etwas,κάτι,something,algo,miski,jokin,un,משהו,nešto,valami,sesuatu,,,iets,noe,,algo,ceva,кое-что,nekaj,nešto,någon,şey,một thứ,些 东西
294,شيء,нещо,nešto,něco,noget,,κάτι,something,algo,,jokin,,משהו,nešto,valami,sesuatu,cosa,何 か,iets,,coś,coisa,ceva,что-то,nekaj,nešto,någon,şey,một điều,些 事情
295,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,,qualcosa,,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,gì đó,
296,شيء,,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,un,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,gì đó,
297,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algo,,что-то,nekaj,nešto,någon,şey,thứ,
298,,нещо,nešto,něco,noget,etwas,κάτι,something,algo,,asia,quelque chose,במשהו,nešto,,sesuatu,qualcosa,物,iets,noe,coś,algo,ceva,нечтo,nekaj,nešto,någon,şey,một thứ gì đó,
299,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,thứ,事情
300,,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algo,ceva,кое-что,nekaj,nešto,någon,şey,thứ,
301,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,,truc,משהו,nešto,valami,hal,una cosa,事,iets,noe,coś,coisa,ceva,,nekaj,nešto,någon,şey,vài điều,ㄆ
302,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,điều gì đó,
303,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,chose,משהו,nešto,valami,hal,c'è,か,iets,noe,coś,coisa,altceva,что-то,nekaj,nešto,någon,bir şey,chuyện,
304,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,sesuatu,qualcosa,もの,iets,noe,coś,algo,ceva,кое-что,nekaj,nešto,någon,bir şey,thấy một thứ,
305,شيء,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,,un,משהו,nešto,valami,,qualcosa,,iets,noe,coś,,ceva,что-то,nekaj,nešto,någon,bir,gì,似
306,شيء,нещо,nešto,něco,noget,bild,,something,algo,asja,jokin,,משהו,nešto,valami,sesuatu,qualcosa,証拠,iets,noe,coś,algo,ceva,,nekaj,nešto,någon,şey,,東西
307,شيء ما,нещо,nešto,svým,noget,etwas,κάτι,something,algo,miski,jokin,cause,משהו,nešto,,sesuatu,,あ,ergens,noe,,coisa,,нечтo,,nešto,någon,bir şey,một điều gì đó,东西
308,شيء,нещо,nešto,něco,noget,irgendetwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,điều gì đó,所
309,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,cosa,miski,jokin,truc,משהו,nešto,valami,sesuatu,darmi una cosa,いただ,iets,noe,coś,uma coisa,ceva,поможешь,nekaj,nešto,någonting,bir şey,giúp,先帮
310,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,,sesuatu,qualcosa,何 か,iets,noe,coś,coisa,ceva,что-то,nekaj,nešto,någon,şey,chuyện gì đó,些
311,شيء ما,нещо,nešto,,,irgendwas,κάτι,something,algo,miski,jokin,un,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,bir şey,thứ gì đó,有东 西
312,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,,miski,jokin,,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,coisa,ceva,кое-что,nekaj,nešto,någonting,,gì,
313,شيء ما,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,una cosa,,iets,noe,coś,coisa,ceva,кое-что,nekaj,nešto,sak,bir şey,một thứ,东 西
314,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,iets,noe,coś,coisa,ceva,,nekaj,nešto,någon,şey,điều gì,有什
315,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,muu,chose,משהו,nešto,mást,sesuatu,dell'altro,ある,iets,noe,coś,coisa,ceva,кое-что,nekaj,nešto,någon,şey,cái,些 东 西
316,شيء,нещо,,,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,,,sesuatu,una cosa,はず,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,şey,việc,
317,شيء,нещо,nešto,něco,noget,man,κάτι,something,algo,miski,jokin,un truc,משהו,,valami,ada sesuatu,qualcosa,現れ,iets,noe,coś,algo,ceva,,nekaj,nešto,någon,şey,gì đó,
318,,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,ada sesuatu,comunque,,,noe,coś,algo,ceva,ведёт,nekaj,nešto,någon,şey,,点
319,شيء,нещо,,,,vorher,κάτι,something,algo,miski,,chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,coisa,ceva,кое-что,nekaj,nešto,någon,şey,thấy cồn cào,件
320,شيء,нещо,nešto,,noget,was,κάτι,something,algo,miski,muu,chose,משהו,nešto,valami,hal,dell'altro,もの,iets,noe,coś,uma coisa,ceva,кое-что,nekaj,nešto,någon,bir şey,một thứ,东西
321,شيء ما,нещо,nešto,,ting,,κάτι,something,,,jokin,,משהו,nešto,valami,sesuatu,una cosa,はず,iets,noe,coś,algo,ceva,кое-что,nekaj,nešto,någon,bir şey,một việc,件
322,,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,sesuatu,una cosa,事,iets,noe,,coisa,ceva,кое-что,nekaj,nešto,någon,bir şey,điều,
323,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,asja,asia,quelque chose,משהו,nešto,valami,ada,una cosa,,,noe,,algo,ceva,,nekaj,nešto,sak,şey,một điều,ㄇ
324,شيء ما,,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か,wat,noe,coś,algo,ceva,кто-то,nekaj,nešto,någon,şey,gì đó,
325,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,,un truc,משהו,nešto,valami,sesuatu,una cosa,,zoiets,,coś,uma coisa,ceva,что-то,nekaj,nešto,någon,bir şey,cái,东西
326,شيء,нещо,nešto,,somethings,irgendwas,κάτι,something,algo,miski,jokin,un,משהו,nešto,,ada,qualcosa,何 か,iets,noe,coś,algum,ceva,что-то,nekaj,nešto,någon,bir,gì,事情
327,شيء,нещо,nešto,něco,noget,irgendetwas,κάτι,something,algo,,jokin,quelque chose,במשהו,nešto,valami,sesuatu,qualcosa,か あ,iets,noe,,algo,ceva,что-то,nekaj,nešto,någon,bir,điều,某
328,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,,,משהו,nešto,valami,ada,qualcosa,何 か,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,gì đó,有什
329,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,chose,משהו,nešto,valami,sesuatu,qualcosa,,iets wat,noe,coś,algo,ceva,,nekaj,nešto,någon,,thứ,东西
330,شيء,нещо,nešto,,der,was,κάτι,something,algo,miski,jokin,,משהו,nešto,valami,ada sesuatu,qualcosa,,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,şey,thứ gì đó,狥 ﹁
331,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,cosa,miski,,un,למשהו,nešto,,sesuatu,qualcosa altro,何 か,iets,noe,coś,coisa,altceva,нечтo,nekaj,nešto,någon,,một thứ,
332,شيء ما,нещо,nešto,něco,noget,,κάτι,something,algo,miski,jokin,truc,משהו,nešto,valami,sesuatu,qualcosa,何 か,wat,noe,coś,coisa,ceva,что-то,nekaj,,någon,şey,gì đó,
333,,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,très,משהו,nešto,valami,,qualcosa,大変,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,bir şey,gì đó,有什
334,شيء,нещо,nešto,,der,,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,ada,una cosa,か,iets,noe,coś,algo,ceva,что-то,nekaj,nešto,någon,şey,chuyện,出了 点
335,شيء ما,,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,あ,iets,noe,coś,algo,ceva,кое-что,,nešto,någon,,một chuyện,东西
336,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,sanottavaa,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,wat,noe,coś,algo,ceva,,nekaj,nešto,någon,şey,,要说
337,,нещо,nešto,,noget,etwas,κάποιος,something,algo,miski,jokin,rien,מסוימת,nešto,valami,sesuatu,qualche,何 か,,noe,coś,algum,ceva,что-то,nekaj,nešto,anledning,bir,đó,
338,شيء,нещо,nešto,,noget,was,κάτι,something,algo,miski,jokin,chose,משהו,nešto,valami,sesuatu,cosa,,iets,noe,coś,coisa,altceva,,nekaj,nešto,någon,şey,cách,办
339,لشيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,,quelque chose,משהו,nešto,dolgot,hal,qualcosa,もの,iets,noe,coś,algo,ceva,кое-что,nekaj,nešto,någon,şey,một thứ,
340,شيء ما,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algum coisa,ceva,,nekaj,nešto,någonting,şey,,
341,شيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,olyat,sesuatu,qualcosa,もの,iets,noe,coś,algo,ceva,нечтo,nekaj,nešto,någon,şey,một thứ,东西
342,,нещо,nešto,,noget,,δείτε,somethin,algo,miski,jokin,truc,משהו,nešto,akartok valami,melihatnya,volete,もっと,iets,noe,coś,coisa,ceva,кое-что,radi,nešto,någon,misiniz,kiến điều,看吗
343,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,dolgot,sesuatu,una cosa,,iets,,coś,coisa,ceva,покажу,nekaj,nešto,någon,şey,vài thứ,东 西
344,شيء,нещо,nešto,něco,noget,,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,sesuatu,qualcosa,現れ,iets,noe,coś,algo,ceva,,nekaj,nešto,någon,şey,gì đó,什么
345,ما؟,нещо,nešto,,noget,irgendwas,κάτι,something,algo,miski,jokin,quelque chose,,nešto,valami mondanom,sesuatu,qualcosa,何 か,iets,noe,coś,algo,ceva,что-нибудь,nekaj,nešto,någon,bir şey,vài,点
346,بشيء,нещо,,něco,noget,was,κάτι,something,algo,miski,jokin,truc,משהו,nešto,valami,benda,qualcosa,,iets,noe,coś,coisa,ceva,какую-то,,netko,någon,şey,thứ gì,
347,بشيء,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,,何 か,iets,noe,coś,algum coisa,ceva,что-нибудь,nekaj,nešto,någon,şey,cái gì đó,点 什
348,,нещо,nešto,,der,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,ada sesuatu,qualcosa,,iets,noe,,algo,ceva,что-то,kaj,nešto,någon,bir şey,chuyện,疑
349,مثير،,уникално,mrak,věci,noget,übel,απίστευτο,something,fantástico,,aikamoista,quelque chose,,izuzetno,látványos,sesuatu,notevole,わけ,iets,fantastisk,nieźle,especial,impresionant,впечатляет,nekaj,zanimljivo,någon,olağanüstü,gì đó,很酷
350,,някога,ikada,kdy,nogensinde,je,ποτέ,ever,alguna,kunagi,koskaan,jamais,אי-פעם,ikad,még,pernah,mai,し,ooit,noensinne har,kiedykolwiek,,vreodată,когда-нибудь,kdaj,ikada,nånsin,,,过我
351,,някога,ikada,kdy,,je,,ever,haya,iial,nähnyt,jamais,אי פעם,ikada,valaha,pernah,mai,た 事,ooit,har,poinformować,já,care l-a,когда-либо,,ikada,har,en,từng,所 未
352,,някога,ikad,kdy,,je,ποτέ,ever,jamás,keegi,,jamais,,ikad,,pernah,mai,た,ooit,noen gang,jaką,já,vreodată,когда-либо,kadarkoli,ikad,blir,yaptığım,nhất,沒
353,,всякога,ikad,dřív,nogensinde,je,ποτέ,ever,nunca,kunagi varem,koskaan,jamais,מתמיד,ikada,valaha,sebelumnya,mai,,ooit,noen gang,kiedykolwiek,nunca,niciodatã,никогда,kadarkoli,ikad,nånsin,,bao giờ,所 未
354,,някога,ikada,kdy,har,jemals,ποτέ,ever,han,eales,jonka,aient,אי פעם,ikada,valaha,pernah,abbiano mai,た,ooit,noensinne har,,já,,сотворить,kdaj,икада,har,,từng,没有
355,يره,,nije,nikdy,har,nie,ποτέ,ever,ha,kes,ole,jamais,מעולם,nije,,pernah,mai,た こと,ooit,har,nigdy,nunca,,никто,še nihče,nije,har,hiç,nhìn,见过
356,,никога,nikad,nikdy,nogensinde,nie,ποτέ,ever,nunca,,koskaan,jamais,.לעולם,nikada,soha,pernah,mai,,nooit,noengang,,nunca,vreodata,никогда,nikoli,nikada,någonsin,asla,bao giờ,会了
357,,,nikada,nikdy,aldrig,nie,ποτέ,ever,nunca,,koskaan,jamais,לעולם,nikad,soha,pernah,mai,た,nooit,aldri,nigdy,nunca,,никогда,nikoli,nikad,aldrig,hiçbir,bao giờ,永远
358,قط,никога,nikada,nikdy,aldrig,niemals,,ever,nunca,kunagi,koskaan,jamais,לעולם,nikad,sosem,,mai,,nooit,aldri,nigdy,nunca,niciodată,,nikoli,nikada,aldrig,hiç,bao giờ,我永 远
359,أؤذيك,,,nikdy,,niemals,ποτέ,ever,jamás,iial,koskaan,jamais,לעולם,nikad,soha,pernah,mai,たり,nooit,aldri,przenigdy,nunca,niciodată,никогда,nikoli,nikada,kunna,,bao giờ,我绝
360,‫أبدا,никога,nikada,,,niemals,ποτέ,ever,jamás,eales,ikinä,jamais,.לעולם,nikada,soha,selamanya,mai,まで,ooit,aldri,nigdy,algum,ever,увидеть,nikoli,nikada,nånsin,asla,xảy,
361,الأوقات,разговарял,isi,nezkusíš,overrasker,s,κάποιος,sometime,sorprenderá,,,demander,לפעמים,iskušaj,,aja,provaci,びっくり,,iallfall,zaskoczył,surpreendas,încercare odată,обратись,poskusiš,ponekad,fall prova,ara denemiyorsun,đôi,和你想
362,‫أبدا,никога,,,aldrig,nie,μην,never,nunca,kunagi,äläkä,,פעם,ne,soha,jangan pernah,non,こと,nooit,aldri,nigdy,nunca,nu mai,никoгдa не,,više,aldrig,asla,đừng bao giờ,再也 不要 过
363,,няма,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,ei,tule,,,nikada nećete,sosem,,non,な,nooit,aldri,,nunca,nu mai,нe,ne,nikada nećete,aldrig,hiç,bao giờ,不
364,لم,не,nikada,nikdy,aldrig,nie,δεν,never,nunca,pole,ei ole,jamais,מעולם לא,,sosem,pernah,mai,な かっ,nooit,aldri,nie,nunca,,не,nikoli,nije,aldrig,hiç,chưa bao,从 没 想到 过
365,,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,,ikinä,jamais,לעולם לא,nikada,soha nem,takkan,mai,,nooit,aldri,nigdy,nunca,,никогда не,,nikad,aldrig,hiçbir,không bao giờ,永 远 都 不
366,لم,никога,,,aldrig,nie,ποτέ,never,jamás,pole,ole,jamais,לא,nije,sose,pernah,,たり,nooit,aldri,nigdy nie,nunca,niciodată,,nikoli,никада,inte,,giờ,没
